date,open,high,low,close,volume,oi,vwap,8,9
2020-03-24 09:28:00,58.00,58.00,58.00,58.00,20,6080,,,
2020-03-24 09:33:00,70.00,70.00,70.00,70.00,20,6100,,,
2020-03-24 09:45:00,70.00,70.00,70.00,70.00,80,6100,,,
2020-03-24 09:47:00,70.00,70.00,70.00,70.00,60,6100,,,
2020-03-24 09:48:00,70.00,70.00,70.00,70.00,60,6100,,,
2020-03-24 09:49:00,70.00,70.00,70.00,70.00,60,6100,,,
2020-03-24 10:35:00,70.00,70.00,70.00,70.00,20,6280,,,
2020-03-24 11:34:00,70.00,70.00,70.00,70.00,40,6280,,,
2020-03-24 11:44:00,70.00,70.00,70.00,70.00,20,6240,,,
2020-03-24 11:46:00,70.00,70.00,70.00,70.00,20,6240,,,
2020-03-24 11:48:00,70.00,70.00,70.00,70.00,40,6200,,,
2020-03-24 11:57:00,70.00,70.00,70.00,70.00,20,6160,,,
2020-03-24 11:58:00,70.00,70.00,70.00,70.00,20,6160,,,
2020-03-24 12:02:00,70.00,70.00,70.00,70.00,20,6120,,,
2020-03-24 12:10:00,70.00,70.00,70.00,70.00,20,6100,,,
2020-03-24 12:49:00,70.00,70.00,70.00,70.00,40,6100,,,
2020-03-24 13:04:00,65.00,65.00,65.00,65.00,20,6120,,,
2020-03-24 14:42:00,60.00,60.00,60.00,60.00,40,6120,,,
2020-03-24 14:57:00,60.00,60.00,60.00,60.00,40,6100,,,
2020-03-24 15:27:00,47.05,47.05,47.05,47.05,20,6100,,,
2020-03-25 09:52:00,49.10,49.10,49.10,49.10,20,6100,,,
2020-03-25 09:56:00,49.10,49.10,49.10,49.10,60,6100,,,
2020-03-25 10:15:00,50.00,50.00,50.00,50.00,20,6100,,,
2020-03-25 10:40:00,60.50,60.50,60.50,60.50,20,6080,,,
2020-03-25 10:49:00,60.50,60.50,60.50,60.50,20,6060,,,
2020-03-25 12:06:00,64.95,64.95,64.95,64.95,40,6040,,,
2020-03-25 12:07:00,74.95,74.95,74.95,74.95,20,6040,,,
2020-03-25 12:59:00,71.95,71.95,71.95,71.95,20,6020,,,
2020-03-25 13:03:00,75.00,75.00,75.00,75.00,20,6040,,,
2020-03-25 13:06:00,64.00,64.00,64.00,64.00,40,6020,,,
2020-03-25 13:12:00,64.00,64.00,64.00,64.00,80,6020,,,
2020-03-25 13:45:00,67.00,67.00,67.00,67.00,100,6020,,,
2020-03-25 13:46:00,67.00,67.00,67.00,67.00,20,6020,,,
2020-03-25 13:53:00,70.00,70.00,70.00,70.00,20,6000,,,
2020-03-25 14:01:00,74.90,74.90,74.90,74.90,100,6000,,,
2020-03-25 14:18:00,71.05,71.05,71.05,71.05,40,5900,,,
2020-03-25 14:19:00,71.05,71.05,71.05,71.05,20,5900,,,
2020-03-25 14:23:00,71.05,71.05,71.00,71.00,60,5900,,,
2020-03-25 14:36:00,67.00,67.00,67.00,67.00,20,5900,,,
2020-03-25 14:37:00,64.00,64.00,64.00,64.00,20,5880,,,
2020-03-25 14:50:00,64.00,64.00,64.00,64.00,80,5900,,,
2020-03-25 14:52:00,64.00,64.00,64.00,64.00,20,5900,,,
2020-03-25 15:17:00,64.00,64.00,64.00,64.00,20,5920,,,
2020-03-26 09:39:00,64.00,64.00,64.00,64.00,20,5940,,,
2020-03-26 09:57:00,49.00,49.00,49.00,49.00,20,5940,,,
2020-03-26 10:06:00,49.00,49.00,49.00,49.00,40,5940,,,
